market_id,created_at,actual_delivery_time,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_order_place_duration,estimated_store_to_consumer_driving_duration
3.0,2015-01-22 20:39:28,2015-01-22 21:09:09,5477,,1.0,1,1900,1,1900,1900,1.0,0.0,0.0,446,690.0
3.0,2015-02-03 21:21:45,2015-02-03 22:13:00,5477,,1.0,6,6900,5,600,1800,1.0,1.0,2.0,446,289.0
3.0,2015-02-15 02:40:36,2015-02-15 03:20:26,5477,,1.0,3,3900,3,1100,1600,6.0,6.0,9.0,446,650.0
3.0,2015-01-28 20:30:38,2015-01-28 21:08:58,5477,,1.0,3,5000,3,1500,1900,2.0,2.0,2.0,446,338.0
3.0,2015-01-31 02:16:36,2015-01-31 02:43:00,5477,,1.0,2,3900,2,1200,2700,10.0,9.0,9.0,446,638.0
3.0,2015-02-12 03:03:35,2015-02-12 03:36:20,5477,,1.0,4,4850,4,750,1800,7.0,8.0,7.0,446,626.0
3.0,2015-02-18 01:15:45,2015-02-18 02:08:57,5477,,1.0,2,2100,2,700,1200,2.0,2.0,2.0,446,715.0
3.0,2015-02-02 19:22:53,2015-02-02 20:09:19,5477,,4.0,4,4300,4,1200,1500,1.0,1.0,1.0,446,453.0
3.0,2015-02-16 04:19:33,2015-02-16 06:34:00,5477,,1.0,2,2200,2,600,1600,3.0,3.0,4.0,446,642.0
3.0,2015-02-07 01:34:31,2015-02-07 02:17:14,5477,,1.0,1,1900,1,1900,1900,6.0,3.0,3.0,446,690.0
3.0,2015-01-25 01:50:51,2015-01-25 02:28:53,5477,,4.0,4,4986,4,699,2362,16.0,6.0,9.0,446,445.0
1.0,2015-01-28 20:33:04,2015-01-28 21:04:14,4149,,,3,1765,3,275,895,22.0,21.0,24.0,251,490.0
1.0,2015-02-12 20:27:42,2015-02-12 21:18:29,4149,,2.0,1,975,1,975,975,24.0,25.0,30.0,251,487.0
1.0,2015-01-28 21:37:38,2015-01-28 22:11:53,4149,,2.0,3,1425,3,175,900,13.0,12.0,7.0,251,704.0
1.0,2015-01-21 20:35:27,2015-01-21 21:01:26,4149,,2.0,2,1750,2,825,825,18.0,18.0,20.0,251,259.0
1.0,2015-02-16 19:19:17,2015-02-16 20:16:43,4149,,2.0,8,7870,6,825,895,12.0,11.0,9.0,251,98.0
1.0,2015-01-27 20:26:19,2015-01-27 21:03:53,4149,,2.0,2,1725,2,825,900,21.0,18.0,18.0,251,294.0
1.0,2015-01-22 20:19:08,2015-01-22 21:07:43,4149,,2.0,3,2015,3,395,1025,22.0,13.0,13.0,251,740.0
1.0,2015-02-10 20:05:17,2015-02-10 20:34:43,4149,,2.0,1,1220,1,825,825,21.0,21.0,20.0,251,835.0
,2015-02-09 03:27:37,2015-02-09 04:22:18,5054,italian,1.0,2,2400,2,600,1800,94.0,92.0,149.0,446,287.0
3.0,2015-01-29 18:56:20,2015-01-29 19:26:39,1698,sandwich,3.0,1,975,1,975,975,2.0,2.0,1.0,251,
3.0,2015-02-10 21:51:54,,1698,sandwich,3.0,1,1125,1,975,975,7.0,5.0,4.0,251,488.0
6.0,2015-02-06 01:11:56,2015-02-06 01:42:51,976,breakfast,2.0,2,575,2,225,350,,,,251,671.0
6.0,2015-02-14 02:07:47,2015-02-14 03:17:37,976,breakfast,2.0,5,1415,3,185,675,,,,251,893.0
6.0,2015-01-31 21:58:30,2015-01-31 22:55:32,976,breakfast,2.0,1,650,1,650,650,,,,251,479.0
6.0,2015-02-08 03:28:59,2015-02-08 05:32:11,976,breakfast,2.0,5,1550,5,225,700,,,,251,1104.0
6.0,2015-01-23 19:29:17,2015-01-23 20:25:25,976,breakfast,2.0,6,1110,5,185,185,,,,251,584.0
6.0,2015-02-03 22:27:24,2015-02-03 23:09:31,976,breakfast,2.0,8,2115,8,150,650,,,,251,840.0
6.0,2015-01-31 01:35:23,2015-01-31 02:16:43,976,breakfast,2.0,2,1741,2,889,772,,,,251,597.0
6.0,2015-01-24 23:17:11,2015-01-25 00:24:49,976,breakfast,2.0,7,2250,2,225,900,,,,251,361.0
6.0,2015-02-03 21:15:23,2015-02-03 22:38:32,976,breakfast,2.0,1,3900,1,3900,3900,,,,251,893.0
4.0,2015-01-24 19:48:45,2015-01-24 20:31:14,5081,mediterranean,,2,2070,2,325,1745,36.0,60.0,59.0,251,681.0
,2015-02-01 05:32:34,2015-02-01 06:01:21,5081,mediterranean,3.0,2,1845,2,600,1245,33.0,23.0,30.0,251,581.0
3.0,2015-01-23 19:22:18,2015-01-23 19:48:50,3879,,4.0,3,582,1,194,194,6.0,5.0,4.0,251,245.0
3.0,2015-02-01 17:26:45,2015-02-01 18:24:13,3879,,4.0,5,980,2,194,199,1.0,1.0,3.0,251,344.0
6.0,2015-02-15 19:57:36,2015-02-15 20:49:04,1848,sandwich,1.0,4,3575,4,400,925,,,,446,534.0
6.0,2015-01-25 19:15:56,2015-01-25 19:40:38,1848,sandwich,1.0,2,2374,2,979,1048,,,,446,495.0
5.0,2015-01-22 01:24:44,2015-01-22 01:57:06,3654,,1.0,3,2148,2,150,999,16.0,12.0,14.0,446,374.0
3.0,2015-01-29 21:12:39,2015-01-29 22:02:18,3155,sandwich,1.0,1,1190,1,890,890,18.0,13.0,14.0,446,
3.0,2015-02-17 03:06:04,2015-02-17 03:55:36,3155,,1.0,5,2640,5,350,1200,40.0,40.0,49.0,446,174.0
6.0,2015-01-28 19:50:12,2015-01-28 20:41:22,2652,sandwich,1.0,7,2503,4,0,1199,,,,446,275.0
6.0,2015-01-28 21:34:15,2015-01-28 22:01:36,2652,sandwich,1.0,5,1997,5,179,649,,,,446,67.0
6.0,2015-02-17 19:38:04,2015-02-17 20:02:27,2652,sandwich,1.0,3,1274,3,0,375,,,,446,74.0
6.0,2015-01-29 21:18:12,2015-01-29 21:43:05,2652,sandwich,1.0,2,1798,1,899,899,,,,446,595.0
6.0,2015-02-14 21:20:04,2015-02-14 21:54:10,2652,sandwich,1.0,2,2497,2,999,1199,,,,446,179.0
6.0,2015-02-03 23:33:16,2015-02-04 00:07:15,2652,sandwich,4.0,2,1597,2,299,1099,,,,446,150.0
6.0,2015-02-07 03:40:27,2015-02-07 04:06:48,2652,sandwich,1.0,1,1048,1,699,699,,,,446,562.0
6.0,2015-02-07 21:28:56,2015-02-07 22:00:43,2652,sandwich,1.0,2,1199,2,300,899,,,,446,597.0
6.0,2015-02-09 05:22:41,2015-02-09 05:51:35,5674,korean,1.0,2,2390,2,1095,1295,,,,446,626.0
2.0,2015-02-09 19:19:38,2015-02-09 19:48:13,2716,sandwich,3.0,2,1588,2,479,479,,,,251,169.0
2.0,2015-02-10 19:36:38,2015-02-10 20:24:14,2716,,,9,4781,8,379,779,37.0,38.0,68.0,251,431.0
6.0,2015-01-31 03:47:40,2015-01-31 04:31:02,2621,asian,1.0,3,2600,3,750,1000,,,,446,564.0
6.0,2015-01-23 02:31:33,2015-01-23 03:25:12,2621,asian,1.0,2,1750,2,750,1000,,,,446,478.0
6.0,2015-02-14 03:49:32,2015-02-14 05:03:38,2621,asian,1.0,3,2400,3,700,900,,,,446,421.0
6.0,2015-02-04 04:11:55,2015-02-04 04:41:38,2621,asian,1.0,3,2550,3,750,1000,,,,446,572.0
6.0,2015-02-07 04:13:02,2015-02-07 04:59:53,2621,asian,1.0,3,2600,3,750,1000,,,,446,258.0
6.0,2015-02-01 03:26:56,2015-02-01 04:10:18,2621,asian,1.0,2,1935,2,900,1035,,,,446,276.0
6.0,2015-01-31 01:03:55,2015-01-31 01:35:29,2621,asian,1.0,1,1000,1,1000,1000,,,,446,659.0
6.0,2015-02-06 02:36:27,2015-02-06 03:06:48,2621,asian,1.0,3,1900,3,450,750,,,,446,283.0
6.0,2015-02-07 02:14:38,2015-02-07 03:02:14,2621,asian,1.0,5,3950,4,650,1000,,,,446,561.0
6.0,2015-01-30 02:54:20,2015-01-30 03:45:07,2621,asian,1.0,3,2550,3,750,1000,,,,446,453.0
6.0,2015-01-30 02:28:20,2015-01-30 03:04:04,2621,asian,1.0,2,1600,2,700,900,,,,446,163.0
6.0,2015-02-15 03:08:54,2015-02-15 04:16:00,2621,asian,1.0,3,2400,3,650,1000,,,,446,580.0
