market_id,created_at,actual_delivery_time,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_order_place_duration,estimated_store_to_consumer_driving_duration
1.0,2015-01-29 02:59:28,2015-01-29 03:44:09,132,fast,4.0,3,1003,3,-86,1066,24.0,29.0,38.0,251,721.0
2.0,2015-02-06 05:26:55,2015-02-06 06:15:41,6740,fast,4.0,35,1786,4,-1,488,33.0,36.0,52.0,251,587.0
2.0,2015-02-08 23:20:59,2015-02-08 23:50:03,777,fast,4.0,25,1636,5,-35,514,81.0,61.0,72.0,251,469.0
2.0,2015-02-08 06:02:12,2015-02-08 06:32:58,777,fast,4.0,15,1822,4,-48,433,36.0,36.0,43.0,251,339.0
5.0,2015-02-14 22:01:48,2015-02-14 23:15:15,2276,pizza,3.0,1,3099,1,-31,52,22.0,26.0,34.0,251,377.0
3.0,2015-02-15 20:46:57,2015-02-15 21:43:42,707,american,4.0,16,1601,5,-13,194,29.0,17.0,22.0,251,875.0
3.0,2015-01-25 19:18:20,2015-01-25 20:37:08,1950,breakfast,3.0,7,6095,7,-30,1211,18.0,23.0,12.0,251,878.0
1.0,2015-01-24 03:45:37,2015-01-24 04:42:59,2998,fast,4.0,10,1938,8,-9,594,28.0,40.0,46.0,251,551.0
1.0,2015-02-10 03:31:22,2015-02-10 04:02:08,2054,italian,5.0,5,2585,3,-7,1235,49.0,47.0,59.0,251,333.0
2.0,2015-02-02 20:24:15,2015-02-02 20:55:06,86,fast,4.0,18,1646,3,-6,297,49.0,41.0,37.0,251,638.0
5.0,2015-02-02 20:22:39,2015-02-02 21:03:12,2651,fast,4.0,3,951,2,-51,804,21.0,16.0,39.0,251,244.0
6.0,2015-02-01 19:49:43,2015-02-01 20:24:32,1862,fast,4.0,27,2946,7,-13,351,,,,251,264.0
2.0,2015-02-04 16:56:44,2015-02-04 17:34:10,1851,fast,4.0,16,2162,5,-52,397,15.0,13.0,15.0,251,559.0
