market_id,created_at,actual_delivery_time,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_order_place_duration,estimated_store_to_consumer_driving_duration
1.0,2015-02-18 00:36:21,2015-02-18 01:12:28,1811,smoothie,2.0,2,1940,1,840,856,11.0,14.0,-2.0,251,460.0
3.0,2015-02-03 03:04:22,2015-02-03 04:21:43,275,fast,4.0,3,1778,2,158,869,7.0,10.0,-2.0,251,743.0
1.0,2015-01-25 21:15:30,2015-01-25 21:51:23,4237,asian,1.0,3,2039,3,393,798,9.0,7.0,-1.0,446,393.0
1.0,2015-02-08 19:49:17,2015-02-08 21:10:48,5572,korean,1.0,2,1641,2,754,1217,5.0,2.0,-1.0,446,537.0
1.0,2015-01-31 17:32:31,2015-01-31 18:04:30,3169,fast,4.0,3,617,2,258,365,6.0,6.0,-6.0,251,217.0
1.0,2015-01-27 01:50:34,2015-01-27 02:23:54,4496,other,1.0,3,2258,2,126,837,24.0,8.0,-2.0,446,317.0
1.0,2015-02-17 02:55:02,2015-02-17 04:41:16,3158,american,4.0,1,1317,1,1058,1042,6.0,7.0,-3.0,251,528.0
3.0,2015-01-23 00:25:58,2015-01-23 01:13:54,1608,pizza,1.0,3,1963,2,562,855,2.0,5.0,-6.0,446,801.0
1.0,2015-02-18 01:50:48,2015-02-18 02:46:53,5104,chinese,5.0,4,3146,4,468,945,2.0,5.0,-3.0,251,964.0
1.0,2015-02-14 06:10:15,2015-02-14 07:04:41,4709,dessert,5.0,2,2117,2,1076,1051,13.0,9.0,-1.0,251,940.0
3.0,2015-02-18 01:39:42,2015-02-18 02:27:46,396,chinese,1.0,5,3952,4,183,1636,4.0,0.0,-6.0,446,157.0
1.0,2015-01-29 17:10:38,2015-01-29 18:03:08,4355,fast,4.0,2,1141,1,490,430,5.0,8.0,-5.0,251,
3.0,2015-02-10 19:30:22,2015-02-10 20:17:54,2473,sandwich,3.0,2,1946,2,763,1053,9.0,10.0,-1.0,251,975.0
3.0,2015-01-28 02:49:03,2015-01-28 03:27:42,4456,burger,1.0,4,2924,3,324,851,5.0,4.0,-6.0,446,518.0
3.0,2015-02-08 21:34:21,2015-02-08 21:59:37,5949,smoothie,5.0,1,1408,1,747,827,13.0,4.0,-5.0,251,136.0
3.0,2015-01-27 15:37:07,2015-01-27 16:24:27,4877,dessert,4.0,4,3388,1,817,903,9.0,8.0,-3.0,251,666.0
3.0,2015-02-15 16:40:06,2015-02-15 17:55:02,1535,american,1.0,5,2967,5,326,1028,14.0,10.0,-3.0,446,567.0
3.0,2015-01-31 03:14:23,2015-01-31 03:53:37,1141,catering,5.0,4,2428,3,117,815,3.0,5.0,-6.0,251,775.0
1.0,2015-01-23 18:47:42,2015-01-23 20:04:18,668,italian,3.0,6,7413,2,948,1399,1.0,0.0,-1.0,251,829.0
1.0,2015-02-12 18:25:26,2015-02-12 19:11:21,4379,american,3.0,2,2114,2,921,1413,15.0,8.0,-1.0,251,458.0
1.0,2015-02-10 03:25:47,2015-02-10 04:01:25,5322,sandwich,4.0,3,1761,2,288,584,8.0,2.0,-4.0,251,217.0
3.0,2015-01-23 22:35:36,2015-01-23 23:09:59,5185,fast,4.0,2,1670,2,458,782,6.0,7.0,-3.0,251,543.0
1.0,2015-01-21 18:36:20,2015-01-21 19:03:24,5654,sandwich,5.0,3,3243,3,914,1038,3.0,9.0,-1.0,251,293.0
3.0,2015-02-04 04:42:44,2015-02-04 05:08:45,3809,burger,1.0,1,1050,1,739,782,9.0,14.0,-2.0,446,859.0
3.0,2015-02-10 17:39:40,2015-02-10 18:12:04,6138,,4.0,2,12,1,1584,1592,5.0,7.0,-5.0,251,537.0
4.0,2015-02-03 23:05:58,2015-02-04 00:13:36,1853,mexican,3.0,3,1543,3,251,727,5.0,12.0,-1.0,251,97.0
3.0,2015-01-24 23:40:30,2015-01-25 01:31:38,325,thai,1.0,4,2382,3,295,1018,4.0,2.0,-3.0,446,885.0
1.0,2015-02-09 17:44:05,2015-02-09 18:11:23,6813,,5.0,3,2337,3,616,820,10.0,5.0,-1.0,251,339.0
5.0,2015-01-27 22:05:37,2015-01-27 22:42:58,4922,sandwich,1.0,2,1904,2,749,942,14.0,11.0,-1.0,446,848.0
1.0,2015-02-09 21:09:37,2015-02-09 22:01:24,1084,korean,1.0,2,2841,2,1030,1729,8.0,7.0,-1.0,446,423.0
1.0,2015-02-15 01:04:51,2015-02-15 01:44:46,1084,korean,1.0,1,2325,1,2361,2433,7.0,9.0,-1.0,446,574.0
1.0,2015-01-22 20:58:45,2015-01-22 22:01:49,2688,smoothie,1.0,9,6642,9,503,1208,2.0,3.0,-4.0,446,580.0
1.0,2015-01-30 01:22:25,2015-01-30 02:57:35,192,vietnamese,1.0,4,3381,3,588,1013,6.0,3.0,-1.0,446,519.0
5.0,2015-01-24 23:50:26,2015-01-25 01:32:32,6370,steak,4.0,3,3115,3,21,2176,13.0,19.0,-5.0,446,923.0
1.0,2015-02-06 22:48:06,2015-02-06 23:45:19,11,burger,1.0,3,1685,3,248,436,8.0,5.0,-3.0,446,584.0
4.0,2015-02-03 05:56:12,2015-02-03 06:31:38,6850,american,1.0,1,1671,1,1467,1525,17.0,5.0,-5.0,446,818.0
3.0,2015-02-14 02:59:10,2015-02-14 04:14:52,4904,italian,1.0,5,4842,4,252,1450,8.0,0.0,-2.0,446,839.0
2.0,2015-02-04 17:37:15,2015-02-04 18:16:06,600,breakfast,1.0,1,1457,1,1156,1355,10.0,11.0,-1.0,446,144.0
1.0,2015-01-22 04:53:28,2015-01-22 06:01:22,1830,sandwich,1.0,3,4364,2,1038,1461,12.0,17.0,-2.0,446,865.0
5.0,2015-02-10 05:21:54,2015-02-10 05:53:53,4024,greek,3.0,2,2692,2,937,1643,14.0,3.0,-1.0,251,496.0
