market_id,created_at,actual_delivery_time,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_order_place_duration,estimated_store_to_consumer_driving_duration
3.0,2015-02-14 01:48:58,2015-02-14 03:00:13,90,american,1.0,2,3538,2,1238,1606,-2.0,2.0,10.0,446,266.0
3.0,2015-01-21 21:02:32,2015-01-21 21:41:03,2649,catering,2.0,1,986,1,892,827,-2.0,5.0,1.0,251,787.0
3.0,2015-02-08 18:28:15,2015-02-08 19:17:31,2772,fast,3.0,2,1327,1,680,615,-1.0,6.0,6.0,251,368.0
3.0,2015-02-07 19:55:46,2015-02-07 20:46:27,793,hawaiian,1.0,1,1202,1,987,1092,-1.0,9.0,5.0,446,773.0
1.0,2015-02-02 22:27:36,2015-02-03 00:08:43,1337,american,1.0,2,2831,2,681,635,-1.0,13.0,16.0,446,394.0
1.0,2015-01-25 02:55:01,2015-01-25 03:41:37,1238,chinese,1.0,2,1803,2,818,1061,-1.0,4.0,7.0,446,381.0
1.0,2015-01-29 02:07:49,2015-01-29 02:48:26,4402,salad,5.0,2,1117,2,339,956,-3.0,0.0,16.0,251,187.0
1.0,2015-02-01 03:42:22,2015-02-01 04:34:18,6379,sushi,5.0,7,2666,7,379,437,-2.0,8.0,5.0,251,486.0
1.0,2015-02-09 03:35:22,2015-02-09 04:36:05,2194,japanese,3.0,2,1862,2,488,1162,-2.0,3.0,3.0,251,603.0
3.0,2015-02-14 04:21:45,2015-02-14 05:40:08,4671,seafood,4.0,4,1874,3,110,1378,-2.0,-1.0,11.0,446,971.0
3.0,2015-02-09 23:09:20,2015-02-09 23:48:48,3693,fast,4.0,3,1980,3,269,768,-2.0,2.0,2.0,251,728.0
3.0,2015-02-10 19:28:01,2015-02-10 20:32:05,2603,sushi,1.0,10,6515,8,154,1219,-2.0,4.0,-4.0,446,607.0
1.0,2015-02-09 22:00:06,2015-02-09 22:48:31,4876,sushi,5.0,3,997,3,390,399,-2.0,6.0,-1.0,251,568.0
1.0,2015-01-21 19:22:03,2015-01-21 20:05:09,3229,breakfast,3.0,8,7469,5,882,1023,-2.0,12.0,22.0,251,654.0
3.0,2015-01-24 20:10:09,2015-01-24 20:42:01,2540,other,3.0,1,1524,1,920,897,-2.0,3.0,-3.0,251,325.0
1.0,2015-01-28 20:21:30,2015-01-28 21:05:07,3039,pizza,3.0,2,3146,2,1053,1721,-1.0,7.0,1.0,251,510.0
3.0,2015-02-03 01:07:10,2015-02-03 02:03:26,5325,chinese,1.0,3,2776,3,358,1227,-2.0,6.0,6.0,446,837.0
1.0,2015-02-11 19:52:36,2015-02-11 20:39:51,5599,chinese,1.0,2,1934,2,1006,1024,-4.0,7.0,3.0,446,669.0
1.0,2015-01-27 04:07:25,2015-01-27 05:16:38,6056,japanese,6.0,2,720,1,515,495,-2.0,1.0,10.0,446,466.0
3.0,2015-02-05 20:16:54,2015-02-05 21:10:23,3326,seafood,4.0,3,2238,3,740,768,-1.0,5.0,10.0,251,738.0
1.0,2015-02-01 04:54:41,2015-02-01 05:37:57,5663,italian,3.0,2,5240,2,2516,2644,-2.0,5.0,6.0,251,172.0
